s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
0.0;-7.399999999999999;-0.1999999999999993;-2.0623155;0.0039873;5.7459679;0.1227378
0.9920794;-6.550000000000001;-0.6499999999999986;-2.0558449;0.0090501;5.7671204;0.0604383
1.9841589;-5.649999999999999;-1.0999999999999996;-2.0418911;0.0197922;5.7775079;-0.1007415
2.9762383;-4.800000000000001;-1.549999999999999;-2.0132785;0.0399691;5.7601832;-0.4311212
3.9683177;-3.849999999999998;-1.9499999999999993;-1.9585831;0.0738357;5.6854461;-1.0008806
4.9603972;-2.9499999999999993;-2.299999999999999;-1.8601853;0.1320453;5.5080297;-1.8249179
5.9524766;-1.9499999999999993;-2.5999999999999996;-1.6868694;0.2265827;5.1688939;-2.5013361
6.944556;-0.75;-2.75;-1.4012919;0.3440005;4.6641629;-2.027411
7.9366355;0.25000000000000355;-2.25;-1.014052;0.3716791;4.2109037;-0.4521881
8.9287149;0.6999999999999993;-1.5;-0.7011434;0.2439781;4.1029864;0.678478
9.9207943;1.2500000000000036;-0.6499999999999986;-0.5397535;0.1063087;4.2638839;0.9862199
10.9128738;1.7500000000000036;0.20000000000000107;-0.471902;0.0508066;4.4874851;0.8606365
11.9049532;2.150000000000002;1.1000000000000014;-0.4171973;0.0724642;4.6738808;0.2401795
12.8970326;2.5000000000000036;2.0;-0.3162042;0.1379354;4.7245864;-0.7052951
13.8891121;2.7500000000000036;3.0;-0.1251113;0.2630448;4.5740899;-1.7502138
14.8811915;2.6999999999999993;3.950000000000001;0.1998449;0.3815103;4.1772714;-0.9127326
15.8732709;2.349999999999998;4.900000000000002;0.5861667;0.3331382;3.9545657;0.2752471
16.8653504;1.6500000000000021;5.600000000000001;0.8579636;0.2113063;4.0230242;0.9112802
17.8574298;0.8499999999999979;6.199999999999999;1.0122958;0.1080482;4.2417978;1.1633131
18.8495092;0.0;6.699999999999999;1.079449;0.0418849;4.5056683;1.1646826
19.8415887;-0.8499999999999979;7.150000000000002;1.1043523;0.0159727;4.7552037;1.0353096
20.8336681;-1.75;7.600000000000001;1.1152503;0.0081366;4.9665059;0.8715757
21.8257475;-2.6499999999999986;8.0;1.1216366;0.0052436;5.1376576;0.7140246
22.817827;-3.5500000000000007;8.450000000000003;1.1257645;0.0027648;5.2737334;0.5805622
23.8099064;-4.449999999999999;8.850000000000001;1.12697;-0.0007126;5.381839;0.4751181
24.8019859;-5.349999999999998;9.3;1.1241496;-0.0049335;5.4687202;0.3914049
25.7940653;-6.25;9.75;1.117176;-0.0090144;5.5392698;0.3238898
