# f912d9e7-262d-4be2-819a-01eb8bbe2f73
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -7.3977484; -0.2129532; -2.0623155; 0.0039873; 5.7459679; 0.1227378
0.9920794; -6.5222909; -0.6784526; -2.0558449; 0.0090501; 5.7671204; 0.0604383
1.9841589; -5.6412310; -1.1360227; -2.0418911; 0.0197922; 5.7775079; -0.1007415
2.9762383; -4.7504226; -1.5757467; -2.0132785; 0.0399691; 5.7601832; -0.4311212
3.9683177; -3.8427615; -1.9789072; -1.9585831; 0.0738357; 5.6854461; -1.0008806
4.9603972; -2.9082642; -2.3130807; -1.8601853; 0.1320453; 5.5080297; -1.8249179
5.9524766; -1.9387574; -2.5201846; -1.6868694; 0.2265827; 5.1688939; -2.5013361
6.9445560; -0.9497039; -2.5033407; -1.4012919; 0.3440005; 4.6641629; -2.0274110
7.9366355; -0.0278721; -2.1566416; -1.0140520; 0.3716791; 4.2109037; -0.4521881
8.9287149; 0.7142917; -1.5015895; -0.7011434; 0.2439781; 4.1029864; 0.6784780
9.9207943; 1.2794711; -0.6915570; -0.5397535; 0.1063087; 4.2638839; 0.9862199
10.9128738; 1.7536002; 0.1729861; -0.4719020; 0.0508066; 4.4874851; 0.8606365
11.9049532; 2.1812802; 1.0653979; -0.4171973; 0.0724642; 4.6738808; 0.2401795
12.8970326; 2.5423851; 1.9894340; -0.3162042; 0.1379354; 4.7245864; -0.7052951
13.8891121; 2.7705501; 2.9575145; -0.1251113; 0.2630448; 4.5740899; -1.7502138
14.8811915; 2.7424699; 3.9481694; 0.1998449; 0.3815103; 4.1772714; -0.9127326
15.8732709; 2.3603857; 4.8552300; 0.5861667; 0.3331382; 3.9545657; 0.2752471
16.8653504; 1.6971368; 5.5933462; 0.8579636; 0.2113063; 4.0230242; 0.9112802
17.8574298; 0.8944545; 6.1753411; 1.0122958; 0.1080482; 4.2417978; 1.1633131
18.8495092; 0.0366542; 6.6660824; 1.0794490; 0.0418849; 4.5056683; 1.1646826
19.8415887; -0.8412647; 7.1196578; 1.1043523; 0.0159727; 4.7552037; 1.0353096
20.8336681; -1.7284310; 7.5596291; 1.1152503; 0.0081366; 4.9665059; 0.8715757
21.8257475; -2.6209205; 7.9930867; 1.1216366; 0.0052436; 5.1376576; 0.7140246
22.8178270; -3.5169011; 8.4224612; 1.1257645; 0.0027648; 5.2737334; 0.5805622
23.8099064; -4.4145574; 8.8496162; 1.1269700; -0.0007126; 5.3818390; 0.4751181
24.8019859; -5.3115137; 9.2772529; 1.1241496; -0.0049335; 5.4687202; 0.3914049
25.7940653; -6.2054442; 9.7088374; 1.1171760; -0.0090144; 5.5392698; 0.3238898
26.7861447; -7.0947243; 10.1479509; 1.1065067; -0.0124687; 5.5969777; 0.2661057
27.7782242; -7.9788367; 10.5979789; 1.0930527; -0.0146655; 5.6439485; 0.2203314
28.7703036; -8.8566130; 11.0607436; 1.0780903; -0.0153871; 5.6825459; 0.1830011
29.7623830; -9.7271709; 11.5364982; 1.0635619; -0.0135024; 5.7144056; 0.1391520
30.7544625; -10.5918226; 12.0237934; 1.0526924; -0.0074726; 5.7385129; 0.0825117
31.7465419; -11.4538994; 12.5178469; 1.0498296; 0.0027438; 5.7527599; -0.0013588
32.7386213; -12.3181603; 13.0098330; 1.0589630; 0.0161449; 5.7525256; -0.1520106
33.7307008; -13.1899137; 13.4873019; 1.0834269; 0.0340920; 5.7262499; -0.4774565
34.7227802; -14.0751603; 13.9328611; 1.1309300; 0.0662769; 5.6429237; -1.2051373
35.7148596; -14.9852376; 14.3147730; 1.2318829; 0.1586996; 5.4269148; -2.4567622
36.7069391; -15.9439947; 14.5468554; 1.4634945; 0.3264450; 4.9574991; -2.8793063
37.6990185; -16.9269415; 14.4718173; 1.8474306; 0.4401257; 4.3432472; -1.4059044
38.6910979; -17.7965697; 14.0106129; 2.2423002; 0.3129731; 4.0092716; 0.2730673
39.6831774; -18.4850620; 13.2980944; 2.4789143; 0.1630622; 4.0762811; 0.8637852
40.6752568; -19.0444542; 12.4778213; 2.5956353; 0.0862475; 4.2813497; 0.9894638
41.6673362; -19.5293274; 11.6107229; 2.6638703; 0.0593000; 4.5047984; 0.8700235
42.6594157; -19.9607497; 10.7156954; 2.7224398; 0.0660332; 4.6924911; 0.4337425
43.6514951; -20.3305358; 9.7948742; 2.8040419; 0.1071008; 4.7833134; -0.4322220
44.6435745; -20.5971120; 8.8402491; 2.9529760; 0.2168335; 4.6928126; -1.6710540
45.6356540; -20.6517913; 7.8520154; -3.0382556; 0.3740863; 4.3251420; -1.4608054
46.6277334; -20.3502640; 6.9179412; -2.6195434; 0.3877177; 3.9759758; -0.0478516
47.6198128; -19.7190821; 6.1597035; -2.2979987; 0.2477697; 3.9640179; 0.8139734
48.6118923; -18.9205176; 5.5775857; -2.1234482; 0.1224155; 4.1627504; 1.0923023
49.6039717; -18.0547301; 5.0974854; -2.0419352; 0.0530541; 4.4154039; 1.1436309
50.5960511; -17.1615893; 4.6639142; -2.0090986; 0.0187384; 4.6652907; 1.0645840
51.5881306; -16.2582527; 4.2469743; -1.9999608; 0.0028546; 4.8864344; 0.9274365
52.5802100; -15.3532463; 3.8327681; -2.0013678; -0.0047435; 5.0712348; 0.7786317
53.5722894; -14.4515360; 3.4150234; -2.0087649; -0.0096471; 5.2213362; 0.6511684
54.5643689; -13.5555701; 2.9895883; -2.0199570; -0.0122756; 5.3436292; 0.5443200
55.5564483; -12.6656921; 2.5540473; -2.0318505; -0.0115281; 5.4437478; 0.4512512
56.5485277; -11.7811504; 2.1086772; -2.0422938; -0.0095723; 5.5253728; 0.3691629
57.5406072; -10.9007661; 1.6548635; -2.0508900; -0.0078058; 5.5912630; 0.2982279
58.5326866; -10.0232300; 1.1938544; -2.0578689; -0.0061088; 5.6439307; 0.2392511
59.5247660; -9.1475225; 0.7270819; -2.0627591; -0.0035386; 5.6858303; 0.1768254
60.5168455; -8.2727072; 0.2569856; -2.0644133; 0.0001665; 5.7166000; 0.1696592
61.5089249; -7.3977484; -0.2129532; -2.0623155; 0.0039873; 5.7459679; 0.1227378
